Company,Location,Stage,Total Raise,Focus,Website
Lyceum,"Berlin, DE",Pre-Seed,"€10.3M","Sovereign GPU cloud & compute",
Blockbrain,"Stuttgart, DE",Series A,"€23M","Secure GenAI & Knowledge Twins",
Duna,"DE / NL",Series A,"€40M+","AI-native business identity",
Flagright,"Munich, DE",Seed,"$7.6M","AI compliance infrastructure",
Pruna,"Munich, DE",Seed,"$6.5M","AI model optimization",
PandasAI,"Munich, DE",Seed,"$1.6M","Generative AI for data analysis",
Prem Labs,"Lugano, CH",Seed,"€13M","Open-source AI models & agents",
Albatross AI,"Baar, CH",Seed,"$16M","AI Infrastructure",
Lakera,"Zurich, CH",Series A,"~CHF 17M","AI security & quality assurance",
LatticeFlow,"Zurich, CH",Series A,"$14.8M","Robust AI model evaluation",
DeepJudge,"Zurich, CH",Unknown,"CHF 10M","AI search for document repos",
Infrared.city,"Vienna, AT",Seed,"$1M","AI for resilient design",
Emmi AI,"Vienna, AT",Seed,Unknown,"AI for industrial engineering",
Daiki,"Vienna, AT",Seed,"€1.5M","AI governance & compliance",
NXAI,"Ort, AT",Unknown,Unknown,"Scalable industrial AI architectures",
